ID,Frame index,Groups,Donor Photons,Acceptor Photons,FRET efficiency,X (nm),Y (nm)
0,0,,1181.67,363.567,0.235282,37667.1,20354.7
0,1,,0,0,0,0,0
0,2,,0,0,0,0,0
0,3,,0,0,0,0,0
0,4,,0,0,0,0,0
0,5,,1505.69,472.348,0.238796,37664,20352.6
0,6,,1031.94,404.635,0.281667,37558.1,20219.2
0,7,,1707.75,499.048,0.226141,37673.2,20351.1
0,8,,1567.74,401.553,0.203907,37660.2,20342.3
0,9,,0,0,0,0,0
0,10,,0,0,0,0,0
0,11,,1162.57,439.189,0.274192,37547.3,20230.3
0,12,,0,0,0,0,0
0,13,,0,0,0,0,0
0,14,,1364.6,352.126,0.205115,37669,20337.2
0,15,,0,0,0,0,0
0,16,,1141.39,386.295,0.252863,37675.1,20342.6
0,17,,0,0,0,0,0
0,18,,1204.27,345.793,0.223083,37671,20334.9
0,19,,0,0,0,0,0
0,20,,0,0,0,0,0
0,21,,0,0,0,0,0
0,22,,0,0,0,0,0
0,23,,0,0,0,0,0
0,24,,0,0,0,0,0
0,25,,1208.22,385.313,0.241798,37656.5,20361.7
0,26,,0,0,0,0,0
0,27,,0,0,0,0,0
0,28,,0,0,0,0,0
0,29,,0,0,0,0,0
0,30,,1128.94,349.02,0.23615,37673.3,20360.2
0,31,,1199.58,383.907,0.242443,37659.1,20353.1
0,32,,0,0,0,0,0
0,33,,959.634,285.142,0.229071,37663.4,20364.3
0,34,,0,0,0,0,0
0,35,,0,0,0,0,0
0,36,,1059.23,354.236,0.250615,37666.7,20359.5
0,37,,0,0,0,0,0
0,38,,1110.15,287.762,0.205851,37660,20368.8
0,39,,0,0,0,0,0
0,40,,905.366,232.291,0.204184,37663,20353.7
0,41,,865.916,353.013,0.289609,37651.3,20344.4
0,42,,952.503,392.066,0.291593,37664.2,20354.2
0,43,,1001.79,334.392,0.25026,37658.8,20357
0,44,,0,0,0,0,0
0,45,,0,0,0,0,0
0,46,,0,0,0,0,0
0,47,,0,0,0,0,0
0,48,,1342.76,420.836,0.238625,37668,20349.8
0,49,,0,0,0,0,0
0,50,,988.857,300.867,0.23328,37662,20353.6
0,51,,0,0,0,0,0
0,52,,999.633,260.429,0.20668,37663.9,20348.7
0,53,,0,0,0,0,0
0,54,,0,0,0,0,0
0,55,,0,0,0,0,0
0,56,,886.459,365.497,0.291941,37651.9,20366.1
0,57,,1208,403.133,0.250217,37658,20355.3
0,58,,1084.87,333.042,0.234881,37671.3,20350.4
0,59,,0,0,0,0,0
0,60,,1034.39,388.25,0.272909,37660.7,20359.3
0,61,,0,0,0,0,0
0,62,,0,0,0,0,0
0,63,,1244.83,353.055,0.220951,37663.9,20353.5
0,64,,919.907,306.731,0.250058,37660.7,20358.1
0,65,,0,0,0,0,0
0,66,,1049.7,322.732,0.235153,37661.4,20358.8
0,67,,1387.58,370.601,0.210786,37668.4,20360.7
0,68,,0,0,0,0,0
0,69,,1170.69,446.171,0.275949,37671.4,20359.5
0,70,,0,0,0,0,0
0,71,,966.716,400.957,0.293168,37661,20353.6
0,72,,0,0,0,0,0
0,73,,980.723,398.029,0.288688,37659.7,20360.9
0,74,,0,0,0,0,0
0,75,,1112.3,362.721,0.24591,37665.5,20340.9
0,76,,0,0,0,0,0
0,77,,0,0,0,0,0
0,78,,0,0,0,0,0
0,79,,955.002,345.327,0.265569,37670.2,20358
0,80,,898.874,248.669,0.216697,37674.4,20363.5
0,81,,1060.92,295.538,0.217875,37660.3,20360.1
0,82,,0,0,0,0,0
0,83,,1150.99,354.576,0.23551,37663.3,20353
0,84,,0,0,0,0,0
0,85,,0,0,0,0,0
0,86,,1024.54,325.083,0.24087,37669,20348.7
0,87,,0,0,0,0,0
0,88,,0,0,0,0,0
0,89,,0,0,0,0,0
0,90,,0,0,0,0,0
0,91,,1265.12,396.491,0.238619,37659.5,20357.8
0,92,,0,0,0,0,0
0,93,,934.119,235.68,0.201471,37657.7,20355.4
0,94,,0,0,0,0,0
0,95,,0,0,0,0,0
0,96,,0,0,0,0,0
0,97,,1185.15,415.636,0.259645,37664.4,20358.7
0,98,,0,0,0,0,0
0,99,,0,0,0,0,0
0,100,,0,0,0,0,0
0,101,,0,0,0,0,0
0,102,,0,0,0,0,0
0,103,,0,0,0,0,0
0,104,,0,0,0,0,0
0,105,,0,0,0,0,0
0,106,,0,0,0,0,0
0,107,,0,0,0,0,0
0,108,,0,0,0,0,0
0,109,,912.896,316.835,0.257645,37670.1,20353.4
0,110,,1015.76,373.116,0.268645,37663.7,20345.5
0,111,,0,0,0,0,0
0,112,,0,0,0,0,0
0,113,,0,0,0,0,0
0,114,,0,0,0,0,0
0,115,,0,0,0,0,0
0,116,,0,0,0,0,0
0,117,,1296.68,369.006,0.221534,37659.7,20355
0,118,,1313.54,460.031,0.259381,37663.9,20364
0,119,,0,0,0,0,0
0,120,,1263.51,404.468,0.24249,37665.8,20357.1
0,121,,0,0,0,0,0
0,122,,949.561,196.599,0.171528,37649.3,20361.1
0,123,,944.957,379.233,0.286388,37672.3,20353.4
0,124,,0,0,0,0,0
0,125,,849.177,336.334,0.283704,37626.9,20285.4
0,126,,0,0,0,0,0
0,127,,0,0,0,0,0
0,128,,969.619,429.044,0.306753,37612.6,20326.7
0,129,,961.89,229.489,0.192625,37623.8,20308.9
0,130,,0,0,0,0,0
0,131,,0,0,0,0,0
0,132,,1313.48,413.497,0.239435,37661.9,20354.3
0,133,,0,0,0,0,0
0,134,,1393.69,353.404,0.202281,37652.9,20347.8
0,135,,1187.62,440.461,0.27054,37701.5,20365.4
0,136,,1278.93,388.971,0.23321,37669.4,20356.7
0,137,,0,0,0,0,0
0,138,,0,0,0,0,0
0,139,,1377.07,398.803,0.224567,37671.4,20350.9
0,140,,0,0,0,0,0
0,141,,1367.54,358.158,0.207544,37674.5,20363.5
0,142,,0,0,0,0,0
0,143,,0,0,0,0,0
0,144,,0,0,0,0,0
0,145,,958.29,301.025,0.239039,37652.4,20366.3
0,146,,0,0,0,0,0
0,147,,0,0,0,0,0
0,148,,1107.33,335.603,0.232584,37686.2,20359
0,149,,1209.3,265.52,0.180035,37674.8,20355.3
0,150,,0,0,0,0,0
0,151,,949.234,344.821,0.266466,37679.5,20352.3
0,152,,0,0,0,0,0
0,153,,0,0,0,0,0
0,154,,1000.67,431.059,0.301076,37683.6,20359.5
0,155,,0,0,0,0,0
0,156,,0,0,0,0,0
0,157,,0,0,0,0,0
0,158,,0,0,0,0,0
0,159,,1039.06,349.947,0.25194,37668.7,20361.8
0,160,,1138.05,342.683,0.231427,37675.5,20358.3
0,161,,999.608,350.136,0.259409,37674.4,20349.8
0,162,,0,0,0,0,0
0,163,,0,0,0,0,0
0,164,,0,0,0,0,0
0,165,,0,0,0,0,0
0,166,,919.997,244.185,0.209748,37677.6,20346.4
0,167,,969.681,291.801,0.231316,37674.7,20340.7
0,168,,0,0,0,0,0
0,169,,0,0,0,0,0
0,170,,1106.75,378.74,0.254959,37667.6,20358.9
0,171,,819.308,342.474,0.294784,37663.9,20354.4
0,172,,0,0,0,0,0
0,173,,0,0,0,0,0
0,174,,1082.58,372.109,0.255801,37669.6,20353.1
0,175,,0,0,0,0,0
0,176,,0,0,0,0,0
0,177,,0,0,0,0,0
0,178,,1109.07,395.691,0.262959,37680,20361.5
0,179,,0,0,0,0,0
0,180,,0,0,0,0,0
0,181,,1352.36,364.02,0.212086,37667.3,20353
0,182,,0,0,0,0,0
0,183,,0,0,0,0,0
0,184,,0,0,0,0,0
0,185,,0,0,0,0,0
0,186,,0,0,0,0,0
0,187,,1199.85,461.526,0.277797,37680,20349.5
0,188,,1333.14,498.453,0.272142,37677.1,20354.2
0,189,,1064.15,358.226,0.251851,37685.3,20355
0,190,,0,0,0,0,0
0,191,,1200.46,489.875,0.289809,37677.6,20353.5
0,192,,1242.11,376.48,0.232597,37676.3,20359.1
0,193,,0,0,0,0,0
0,194,,0,0,0,0,0
0,195,,1028.05,349.101,0.253495,37683.5,20352.7
0,196,,1041.82,321.03,0.235558,37676.7,20363.4
16,0,1,19.9596,365.001,0.948152,26513.8,68246.1
16,1,1,0,0,0,0,0
16,2,1,13.7969,558.272,0.975883,26556.8,68259
